date,ch.kof.aiu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.bau.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.bts_total.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.dhu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.dlu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.fvu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.ggu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.ghu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.inu.ng08.fx.q_ql_ass_bs.balance.d11
1973-02,,,,36.95,,,,,
1973-03,,,,31.26,,,,,
1973-04,,,,33.91,,,,,
1973-05,,,,37.7,,,,,
1973-06,,,,34.95,,,,,
1973-07,,,,36.03,,,,,
1973-08,,,,13.79,,,,,
1973-09,,,,10.99,,,,,
1973-10,,,,0.11,,,,,
1973-11,,,,48.64,,,,,
1973-12,,,,28.96,,,,,
1974-01,,,,22.65,,,,,
1974-02,,,,24.68,,,,,
1974-03,,,,23.77,,,,,
1974-04,,,,-3.11,,,,,
1974-05,,,,24.36,,,,,
1974-06,,,,29.44,,,,,
1974-07,,,,8.63,,,,,
1974-08,,,,23.26,,,,,
1974-09,,,,41.46,,,,,
1974-10,,,,36.63,,,,,
1974-11,,,,48.37,,,,,
1974-12,,,,30.38,,,,,
1975-01,,,,-18.29,,,,,
1975-02,,,,12.26,,,,,
1975-03,,,,15.79,,,,,
1975-04,,,,-1.98,,,,,
1975-05,,,,-8.23,,,,,
1975-06,,,,-20.24,,,,,
1975-07,,,,-22.85,,,,,
1975-08,,,,-18.09,,,,,
1975-09,,,,-27.62,,,,,
1975-10,,,,-29.08,,,,,
1975-11,,,,-28.5,,,,,
1975-12,,,,-53.8,,,,,
1976-01,,,,-21.75,,,,,
1976-02,,,,-3.28,,,,,
1976-03,,,,-16.08,,,,,
1976-04,,,,1.21,,,,,
1976-05,,,,26.13,,,,,
1976-06,,,,-19.23,,,,,
1976-07,,,,-4.21,,,,,
1976-08,,,,16.16,,,,,
1976-09,,,,-5.13,,,,,
1976-10,,,,9.46,,,,,
1976-11,,,,1,,,,,
1976-12,,,,-2.76,,,,,
1977-01,,,,15.89,,,,,
1977-02,,,,5.31,,,,,
1977-03,,,,8.98,,,,,
1977-04,,,,34.54,,,,,
1977-05,,,,14.39,,,,,
1977-06,,,,18.18,,,,,
1977-07,,,,34.99,,,,,
1977-08,,,,29.56,,,,,
1977-09,,,,38.04,,,,,
1977-10,,,,25.09,,,,,
1977-11,,,,21.52,,,,,
1977-12,,,,24.69,,,,,
1978-01,,,,24.36,,,,,
1978-02,,,,15.85,,,,,
1978-03,,,,10.48,,,,,
1978-04,,,,12.79,,,,,
1978-05,,,,10.52,,,,,
1978-06,,,,16.99,,,,,
1978-07,,,,2.67,,,,,
1978-08,,,,-8.73,,,,,
1978-09,,,,-17.4,,,,,
1978-10,,,,-15.86,,,,,
1978-11,,,,-30.1,,,,,
1978-12,,,,-21.41,,,,,
1979-01,,,,-35.22,,,,,
1979-02,,,,8.65,,,,,
1979-03,,,,-7,,,,,
1979-04,,,,-8.92,,,,,
1979-05,,,,-11.22,,,,,
1979-06,,,,-4.33,,,,,
1979-07,,,,-4.02,,,,,
1979-08,,,,-38.13,,,,,
1979-09,,,,-11.16,,,,,
1979-10,,,,-19.8,,,,,
1979-11,,,,37.35,,,,,
1979-12,,,,36.27,,,,,
1980-01,,,,20.29,,,,,
1980-02,,,,23.59,,,,,
1980-03,,,,44.79,,,,,
1980-04,,,,34.77,,,,,
1980-05,,,,37.47,,,,,
1980-06,,,,37.82,,,,,
1980-07,,,,25.05,,,,,
1980-08,,,,38.72,,,,,
1980-09,,,,13.21,,,,,
1980-10,,,,35.66,,,,,
1980-11,,,,58.9,,,,,
1980-12,,,,49.9,,,,,
1981-01,,,,36.5,,,,,
1981-02,,,,35.9,,,,,
1981-03,,,,30.51,,,,,
1981-04,,,,24.31,,,,,
1981-05,,,,36.23,,,,,
1981-06,,,,26.56,,,,,
1981-07,,,,31.43,,,,,
1981-08,,,,28.63,,,,,
1981-09,,,,32.43,,,,,
1981-10,,,,33.22,,,,,
1981-11,,,,35.19,,,,,
1981-12,,,,13.48,,,,,
1982-01,,,,23.57,,,,,
1982-02,,,,-10.15,,,,,
1982-03,,,,10.61,,,,,
1982-04,,,,15.74,,,,,
1982-05,,,,3.21,,,,,
1982-06,,,,-4.27,,,,,
1982-07,,,,4.26,,,,,
1982-08,,,,3.12,,,,,
1982-09,,,,9.87,,,,,
1982-10,,,,5.93,,,,,
1982-11,,,,-31.88,,,,,
1982-12,,,,6.58,,,,,
1983-01,,,,16.46,,,,,
1983-02,,,,18.61,,,,,
1983-03,,,,9.7,,,,,
1983-04,,,,14.97,,,,,
1983-05,,,,5.91,,,,,
1983-06,,,,10.87,,,,,
1983-07,,,,24.03,,,,,
1983-08,,,,-23.32,,,,,
1983-09,,,,5.72,,,,,
1983-10,,,,16.61,,,,,
1983-11,,,,5.61,,,,,
1983-12,,,,14.46,,,,,
1984-01,,,,15.88,,,,,
1984-02,,,,12.19,,,,,
1984-03,,,,23.8,,,,,
1984-04,,,,2.8,,,,,
1984-05,,,,26.9,,,,,
1984-06,,,,24.52,,,,,
1984-07,,,,38.21,,,,,
1984-08,,,,38.05,,,,,
1984-09,,,,36.75,,,,,
1984-10,,,,11.95,,,,,
1984-11,,,,35.49,,,,,
1984-12,,,,31.36,,,,,
1985-01,,,,22.99,,,,,
1985-02,,,,43.05,,,,,
1985-03,,,,16.7,,,,,
1985-04,,,,39.39,,,,,
1985-05,,,,27.56,,,,,
1985-06,,,,39.06,,,,,
1985-07,,,,7.6,,,,,
1985-08,,,,31.67,,,,,
1985-09,,,,29.42,,,,,
1985-10,,,,6.56,,,,,
1985-11,,,,28.48,,,,,
1985-12,,,,41.75,,,,,
1986-01,,,,24.92,,,,,
1986-02,,,,24.63,,,,,
1986-03,,,,26.43,,,,,
1986-04,,,,23.52,,,,,
1986-05,,,,31.98,,,,,
1986-06,,,,35.55,,,,,
1986-07,,,,33.92,,,,,
1986-08,,,,23.34,,,,,
1986-09,,,,18.16,,,,,
1986-10,,,,30,,,,,
1986-11,,,,29.69,,,,,
1986-12,,,,1.65,,,,,
1987-01,,,,27.18,,,,,
1987-02,,,,19.02,,,,,
1987-03,,,,23.54,,,,,
1987-04,,,,13.92,,,,,
1987-05,,,,21.96,,,,,
1987-06,,,,-13.68,,,,,
1987-07,,,,-2.64,,,,,
1987-08,,,,10.1,,,,,
1987-09,,,,16.59,,,,,
1987-10,,,,11.59,,,,,
1987-11,,,,24.65,,,,,
1987-12,,,,20.56,,,,,
1988-01,,,,17.63,,,,,
1988-02,,,,1.58,,,,,
1988-03,,,,16.95,,,,,
1988-04,,,,24.44,,,,,
1988-05,,,,17.06,,,,,
1988-06,,,,13.41,,,,,
1988-07,,,,16.64,,,,,
1988-08,,,,-6.06,,,,,
1988-09,,,,15.95,,,,,
1988-10,,,,30.42,,,,,
1988-11,,,,1.22,,,,,
1988-12,,,,13.73,,,,,
1989-01,,,,19.91,,,,,
1989-02,,,,10.15,,,,,
1989-03,,,,18.18,,,,,
1989-04,,,,7.4,,,,,
1989-05,,,,18.09,,,,,
1989-06,,,,26.3,,,,,
1989-07,,,,38.25,,,,,
1989-08,,,,36.9,,,,,
1989-09,,,,35.18,,,,,
1989-10,,,,38.74,,,,,
1989-11,,,,24.95,,,,,
1989-12,,,,29.09,,,,,
1990-01,,,,27.42,,,,,
1990-02,,,,30.11,,,,,
1990-03,,,,36.6,,,,,
1990-04,,,,42.22,,,,,
1990-05,,,,25.82,,,,,
1990-06,,,,34.47,,,,,
1990-07,,,,26.83,,,,,
1990-08,,,,17.33,,,,,
1990-09,,,,19.09,,,,,
1990-10,,,,17.32,,,,,
1990-11,,,,20.73,,,,,
1990-12,,,,19.35,,,,,
1991-01,,,,21.52,,,,,
1991-02,,,,25.67,,,,,
1991-03,,,,12.85,,,,,
1991-04,,,,13.35,,,,,
1991-05,,,,13.81,,,,,
1991-06,,,,8.96,,,,,
1991-07,,,,6.1,,,,,
1991-08,,,,23.99,,,,,
1991-09,,,,20.43,,,,,
1991-10,,,,11.14,,,,,
1991-11,,,,23.87,,,,,
1991-12,,,,27.82,,,,,
1992-01,,,,11.49,,,,,
1992-02,,,,19.04,,,,,
1992-03,,,,28.45,,,,,
1992-04,,,,-0.23,,,,,
1992-05,,,,14.31,,,,,
1992-06,,,,16.97,,,,,
1992-07,,,,12.55,,,,,
1992-08,,,,-5.35,,,,,
1992-09,,,,-17.71,,,,,
1992-10,,,,1.56,,,,,
1992-11,,,,2.18,,,,,
1992-12,,,,-47.23,,,,,
1993-01,,,,-2.22,,,,,
1993-02,,,,0.15,,,,,
1993-03,,,,-30.59,,,,,
1993-04,,,,-7.52,,,,,
1993-05,,,,-11.01,,,,,
1993-06,,,,-26.68,,,,,
1993-07,,,,-14.07,,,,,
1993-08,,,,-3.92,,,,,
1993-09,,,,-12.55,,,,,
1993-10,,,,-7.19,,,,,
1993-11,,,,-20.68,,,,,
1993-12,,,,-5.21,,,,,
1994-01,,,,-11.81,,,,,
1994-02,,,,-18.91,,,,,
1994-03,,,,-7.62,,,,,
1994-04,,,,4.52,,,,,
1994-05,,,,9,,,,,
1994-06,,,,-6.36,,,,,
1994-07,,,,10.45,,,,,
1994-08,,,,-9.05,,,,,
1994-09,,,,17.29,,,,,
1994-10,,0.4,,8.01,,,,,
1994-11,,,,11.45,,,,,
1994-12,,,,-0.58,,,,,
1995-01,,-3.85,,16.38,,,,,
1995-02,,,,12.65,,,,,
1995-03,,,,3.44,,,,,
1995-04,,-8.1,,-20.81,,,,,
1995-05,,,,-3.39,,,,,
1995-06,,,,5.06,,,,,
1995-07,,-19.86,,-6.79,,,,,
1995-08,,,,-0.33,,,,,
1995-09,,,,-2.27,,,,,
1995-10,,-26.57,,-7.57,,,,,
1995-11,,,,-19.02,,,,,
1995-12,,,,-14.76,,,,,
1996-01,,-31.08,,-28.18,,,,,
1996-02,,,,-15.57,,,,,
1996-03,,,,-11.42,,,,,
1996-04,-16.61,-38.67,,-22.37,,,,,
1996-05,,,,-25.76,,,,,
1996-06,,,,-12.17,,,,,
1996-07,-20.07,-34.79,,-15.74,,,,,
1996-08,,,,-16.39,,,,,
1996-09,,,,-18.99,,,,,
1996-10,-25.7,-35.14,,-31.59,,,,,
1996-11,,,,-13.41,,,,,
1996-12,,,,-17.38,,,,,
1997-01,-22.56,-37.18,,-21.92,,,,,
1997-02,,,,-22.12,,,,,
1997-03,,,,-13.82,,,,,
1997-04,-22.7,-37.26,,-7.12,,,,,
1997-05,,,,6.37,,,,,
1997-06,,,,-0.84,,,,,
1997-07,-22.81,-38.4,,-6.41,,,,,
1997-08,,,,2.81,,,,,
1997-09,,,,-2.74,,,,,
1997-10,-21.15,-34.41,,7.16,,,,,
1997-11,,,,21.13,,,,,
1997-12,,,,10.23,,,,,
1998-01,-16.78,-30.9,,18.52,,,,,
1998-02,,,,17.48,,,,,
1998-03,,,,15.59,,,,,
1998-04,-16.01,-23.41,,11.28,,,,,
1998-05,,,,15.57,,,,,
1998-06,,,,13.98,,,,,
1998-07,-12.53,-9,,18.37,,,,,
1998-08,,,,18.88,,,,,
1998-09,,,,13.58,,,,,
1998-10,-6.78,-9.23,,22.36,,,,,
1998-11,,,,18.32,,,,,
1998-12,,,,17.05,,,,,
1999-01,-5.99,-2.45,,23.5,,,,,
1999-02,,,,7.17,,,,,
1999-03,,,,3.64,,,,,
1999-04,-4.71,2.01,,35.28,,,,,
1999-05,,,,11.89,,,,,
1999-06,,,,6.36,,,,,
1999-07,-0.11,7.93,,41.35,,,,,
1999-08,,,,26.39,,,,,
1999-09,,,,29.47,,,,,
1999-10,1.86,13.89,,25.47,,,,,
1999-11,,,,22.27,,,,,
1999-12,,,,46.21,,,,,
2000-01,6.75,17.4,,33.76,,,,,
2000-02,,,,35.72,,,,,
2000-03,,,,50.32,,,,,
2000-04,16.89,25.15,,21.2,,,,,
2000-05,,,,39.22,,,,,
2000-06,,,,40.9,,,,,
2000-07,20.22,26.16,,23.24,,,,,
2000-08,,,,22.66,,,,,
2000-09,,,,32.96,,,,,
2000-10,26.88,28.79,,33.68,,,,,
2000-11,,,,26.62,,,,,
2000-12,,,,24.31,,,,,
2001-01,26.88,28.3,,26.51,,,,,
2001-02,,,,38.54,,,,,
2001-03,,,,23.13,,,,,
2001-04,25.97,21.22,,31.52,,,,,
2001-05,,,,18,,,,,
2001-06,,,,27.84,,,,,
2001-07,24.1,20.39,,40.19,,,,,
2001-08,,,,16.41,,,,,
2001-09,,,,15.48,,,,,
2001-10,18.84,17.54,,19.61,,,,,
2001-11,,,,11.24,,,,,
2001-12,,,,23.35,,,,,
2002-01,13.9,13.34,,15.6,,,,,
2002-02,,,,10.02,,,,,
2002-03,,,,16.15,,,,,
2002-04,12.69,2.95,,23.77,,,,,
2002-05,,,,11.46,,,,,
2002-06,,,,0.19,,,,,
2002-07,11.44,-6.27,,-7.61,,,,,
2002-08,,,,3.56,,,,,
2002-09,,,,-1.74,,,,,
2002-10,-0.34,-9.93,,-15.44,,,,,
2002-11,,,,6.86,,,,,
2002-12,,,,-19.62,,,,,
2003-01,0.41,-7.16,,-26.26,,,,,
2003-02,,,,-13.84,,,,,
2003-03,,,,-26.33,,,,,
2003-04,-5.99,-6.97,,-36.34,,,,,
2003-05,,,,-21.99,,,,,
2003-06,,,,-16.56,,,,,
2003-07,-6.43,-6.63,,-13.98,,,,,
2003-08,,,,-17.29,,,,,
2003-09,,,,-37.14,,,,,
2003-10,-5.12,-11.22,,-7.21,,,,,
2003-11,,,,-0.91,,,,,
2003-12,,,,-18.66,,,,,
2004-01,0.79,-5.12,,-7.02,,,,,-4.77
2004-02,,,,-0.53,,,,,-1.99
2004-03,,,,7.39,,,,,3.6
2004-04,10.62,-0.52,,1.53,,,,,6.61
2004-05,,,,2.01,,,,,8.17
2004-06,,,,-7.86,,,,,9.13
2004-07,7.48,2.4,,-2.04,,,,,13.25
2004-08,,,,6.39,,,,,12.47
2004-09,,,,1.04,,,,,12.24
2004-10,13.13,6.92,,-6.38,,,,,14.68
2004-11,,,,-25.8,,,,,15.12
2004-12,,,,5.86,,,,,16.13
2005-01,13.62,7.83,,1.79,,,,,16.59
2005-02,,,,-15.29,,,,,13.87
2005-03,,,,-20.58,,,,,12.98
2005-04,12.6,15.2,,-0.76,,,,,11.44
2005-05,,,,10.54,,,,,13.69
2005-06,,,,-1.8,,,,,14.57
2005-07,15,18.29,,0.55,,,,,16.59
2005-08,,,,-2.54,,,,,16.02
2005-09,,,,-1.04,,,,,12.99
2005-10,22.39,22.3,,3.15,,,,,20.9
2005-11,,,,1.85,,,,,20.47
2005-12,,,,7.83,,,,,21.49
2006-01,28.48,25.62,,10.28,,,,,24.15
2006-02,,,,4.31,,,,,26.63
2006-03,,,,3.84,,,,,27.81
2006-04,31.91,29.49,,3.64,,,,,33.51
2006-05,,,,7.51,,,,,31.57
2006-06,,,,19.22,,,,,37.51
2006-07,35.3,36.38,,17.84,,,,,34.19
2006-08,,,,14,,,,,30.77
2006-09,,,,20.53,,,,,36.21
2006-10,37.92,34.74,,15.68,54.14,,,,35.88
2006-11,,,,18.25,,,,,38.14
